model,disk_id,drive_score,drive_label,n_final_windows,final_window_start,final_window_end
MA1,448,0.5376203060150146,0,30,2019-05-14,2019-06-12
MA1,527,0.5387553572654724,0,30,2019-10-10,2019-11-08
MA1,747,0.5465983748435974,0,30,2019-10-10,2019-11-08
MA1,839,0.5806025862693787,0,30,2019-09-27,2019-10-26
MA1,960,0.517566978931427,0,30,2019-10-10,2019-11-08
MA1,977,0.5483566522598267,0,30,2019-10-10,2019-11-08
MA1,2078,0.5698179006576538,0,27,2018-02-01,2018-02-27
MA1,2154,0.527617335319519,0,30,2018-08-17,2018-11-08
MA1,2192,0.5370888113975525,0,30,2019-10-06,2019-11-04
MA1,2278,0.5497547388076782,0,30,2019-10-10,2019-11-08
MA1,2412,0.5787336826324463,0,30,2019-10-10,2019-11-08
MA1,2564,0.5230271220207214,0,30,2019-10-10,2019-11-08
MA1,2859,0.5702778697013855,0,4,2018-02-01,2018-02-04
MA1,2869,0.5696265697479248,0,4,2018-02-01,2018-02-04
MA1,3341,0.5240722894668579,0,30,2019-08-19,2019-10-17
MA1,3449,0.5558871030807495,0,30,2019-02-07,2019-03-08
MA1,3583,0.5647895336151123,0,30,2018-08-11,2018-09-09
MA1,3729,0.5534436702728271,0,30,2019-10-10,2019-11-08
MA1,3798,0.5709912776947021,0,30,2018-09-02,2019-01-02
MA1,4374,0.5375490784645081,0,30,2019-09-22,2019-10-21
MA1,5048,0.5459982752799988,0,30,2019-10-10,2019-11-08
MA1,5085,0.5694718956947327,0,30,2019-09-27,2019-10-26
MA1,5249,0.5491999983787537,0,30,2019-10-10,2019-11-08
MA1,5328,0.5738956928253174,0,30,2019-09-10,2019-11-08
MA1,5474,0.5729095339775085,0,30,2019-01-28,2019-02-26
MA1,5666,0.5614631175994873,0,30,2018-03-23,2018-11-08
MA1,6095,0.5679485201835632,0,30,2018-08-04,2018-09-02
MA1,6099,0.5680485367774963,0,30,2018-08-04,2018-09-02
MA1,6177,0.5428578853607178,0,30,2019-09-10,2019-11-08
MA1,6199,0.5161817669868469,0,30,2019-09-16,2019-10-15
MA1,6465,0.5397390127182007,0,30,2019-08-21,2019-09-19
MA1,6553,0.5447145104408264,0,30,2018-03-28,2018-10-13
MA1,6691,0.5642650723457336,0,30,2018-09-20,2018-10-19
MA1,6714,0.5480908155441284,0,30,2019-10-10,2019-11-08
MA1,6741,0.5506800413131714,0,30,2019-10-10,2019-11-08
MA1,6790,0.5205258131027222,0,30,2019-09-17,2019-10-16
MA1,6794,0.5204960703849792,0,30,2019-09-17,2019-10-16
MA1,7191,0.5430174469947815,0,30,2019-10-10,2019-11-08
MA1,7399,0.5665672421455383,0,30,2018-07-12,2018-09-09
MA1,7529,0.5452287793159485,0,30,2019-06-06,2019-08-04
MA1,7652,0.5762308239936829,0,30,2018-07-13,2018-11-07
MA1,7657,0.5754081010818481,0,30,2018-07-13,2018-11-07
MA1,7788,0.5658034086227417,0,30,2019-10-10,2019-11-08
MA1,8496,0.5712815523147583,0,30,2019-10-10,2019-11-08
MA1,8586,0.5346970558166504,0,30,2019-09-10,2019-11-08
MA1,8635,0.5385097861289978,0,30,2019-10-10,2019-11-08
MA1,8867,0.5422812700271606,0,30,2019-10-10,2019-11-08
MA1,8878,0.5587626695632935,0,30,2019-10-10,2019-11-08
MA1,8956,0.5650525689125061,1,30,2018-08-30,2018-09-28
MA1,9186,0.6084874272346497,0,30,2018-12-12,2019-02-09
MA1,9559,0.5580315589904785,0,30,2018-03-25,2018-05-23
MA1,9584,0.5700881481170654,0,30,2018-11-04,2019-03-08
MA1,9836,0.5562328696250916,0,30,2019-06-08,2019-09-06
MA1,9841,0.567634105682373,0,30,2018-08-11,2018-09-09
MA1,10021,0.561165988445282,0,30,2018-03-21,2018-10-05
MA1,10091,0.5813114047050476,0,30,2018-12-25,2019-01-23
MA1,10094,0.5699787735939026,0,30,2018-12-25,2019-01-23
MA1,10111,0.5522880554199219,0,30,2019-09-20,2019-10-19
MA1,10288,0.5449745059013367,0,30,2019-09-27,2019-10-26
MA1,10601,0.563928484916687,0,30,2019-01-14,2019-02-12
MA1,10633,0.5242997407913208,0,30,2019-10-10,2019-11-08
MA1,10662,0.5516903400421143,0,30,2019-09-10,2019-11-08
MA1,10890,0.28802773356437683,0,30,2018-06-12,2018-09-09
MA1,11096,0.5572766661643982,0,30,2018-10-10,2018-11-08
MA1,11218,0.5315738916397095,0,30,2019-09-10,2019-11-08
MA1,11226,0.5304773449897766,0,30,2019-09-10,2019-11-08
MA1,11227,0.5304809212684631,0,30,2019-09-10,2019-11-08
MA1,11276,0.5707373023033142,0,30,2018-08-08,2018-09-06
MA1,11348,0.5407994985580444,0,30,2019-05-14,2019-06-12
MA1,11505,0.5381218791007996,0,30,2019-05-14,2019-06-12
MA1,11561,0.5985790491104126,0,30,2018-08-11,2018-09-09
MA1,12240,0.5852695107460022,1,30,2018-12-18,2019-01-16
MA1,12576,0.5376664996147156,0,30,2019-09-27,2019-10-26
MA1,12831,0.5622759461402893,0,30,2018-08-17,2018-11-08
MA1,13503,0.5376739501953125,0,30,2018-08-11,2018-09-09
MA1,13822,0.5675866007804871,0,30,2019-03-25,2019-06-12
MA1,14013,0.5377788543701172,0,30,2019-01-17,2019-02-15
MA1,14546,0.5514708161354065,0,30,2019-09-24,2019-10-23
MA1,14850,0.5544352531433105,0,30,2019-08-22,2019-09-20
MA1,15010,0.5395833253860474,0,30,2019-09-27,2019-10-26
MA1,15025,0.5708302855491638,0,30,2018-07-12,2018-09-09
MA1,15061,0.5708475708961487,0,30,2019-10-10,2019-11-08
MA1,15242,0.5511806607246399,0,30,2019-10-10,2019-11-08
MA1,15402,0.553457498550415,0,30,2019-03-04,2019-04-02
MA1,15609,0.563895046710968,0,30,2018-08-11,2018-09-09
MA1,15716,0.5590165257453918,0,30,2018-10-21,2018-12-22
MA1,15948,0.5618830919265747,0,30,2019-10-10,2019-11-08
MA1,15976,0.5227076411247253,0,30,2019-09-27,2019-10-26
MA1,16233,0.5710365772247314,0,30,2018-02-28,2018-04-28
MA1,16251,0.5866912603378296,0,30,2018-07-12,2018-09-09
MA1,16402,0.5597668886184692,0,30,2018-09-17,2018-10-16
MA1,16549,0.2715984880924225,0,30,2019-01-17,2019-02-15
MA1,16817,0.5627810955047607,0,30,2018-08-30,2019-03-08
MA1,16932,0.5354393720626831,0,30,2018-08-17,2018-11-08
MA1,17344,0.5670967102050781,0,30,2018-08-11,2018-09-09
MA1,17482,0.5592972636222839,0,30,2019-04-14,2019-06-12
MA1,17728,0.5589009523391724,0,30,2019-01-02,2019-01-31
MA1,18000,0.5934699177742004,0,30,2019-10-10,2019-11-08
MA1,18069,0.2896760106086731,0,30,2019-09-03,2019-11-08
MA1,18117,0.5505998730659485,0,30,2019-03-14,2019-04-12
MA1,18458,0.5383058190345764,0,30,2019-10-10,2019-11-08
MA1,18493,0.565470278263092,0,30,2018-07-23,2018-11-08
MA1,18648,0.5686811804771423,0,30,2018-03-20,2018-04-18
MA1,18769,0.5637015700340271,0,30,2019-01-21,2019-02-19
MA1,19406,0.558635413646698,0,30,2018-07-12,2018-09-09
MA1,19423,0.5241153836250305,0,30,2019-09-27,2019-10-26
MA1,19481,0.5825002193450928,0,30,2019-05-14,2019-06-12
MA1,19551,0.579739511013031,0,30,2018-06-15,2018-07-14
MA1,19697,0.5323826670646667,0,30,2019-09-27,2019-10-26
MA1,19780,0.606303870677948,0,30,2019-10-04,2019-11-02
MA1,20003,0.5764031410217285,0,30,2018-09-09,2019-02-02
MA1,20162,0.600147008895874,0,30,2018-07-12,2018-09-09
MA1,20221,0.538758397102356,0,30,2019-10-10,2019-11-08
MA1,20297,0.5228713154792786,0,30,2019-08-21,2019-09-19
MA1,20472,0.5433062314987183,0,30,2018-08-07,2018-09-05
MA1,20514,0.5394632816314697,0,30,2019-09-19,2019-10-18
MA1,20828,0.5702941417694092,0,30,2019-10-10,2019-11-08
MA1,21256,0.5348697900772095,0,30,2019-09-27,2019-10-26
MA1,21435,0.5494555234909058,0,30,2018-08-11,2018-09-09
MA1,21469,0.5602391958236694,0,30,2018-08-19,2018-12-13
MA1,21519,0.5362465381622314,0,30,2019-10-10,2019-11-08
MA1,22039,0.565216064453125,0,30,2018-03-20,2018-04-18
MA1,22473,0.5620083212852478,0,30,2018-04-01,2018-09-18
MA1,22522,0.5486622452735901,1,30,2019-01-21,2019-02-19
MA1,22523,0.53452467918396,0,30,2019-09-27,2019-10-26
MA1,23063,0.5629324913024902,0,30,2019-03-28,2019-04-26
MA1,23171,0.5616389513015747,0,30,2018-03-20,2018-04-18
MA1,23665,0.5361558794975281,0,30,2019-10-10,2019-11-08
MA1,23701,0.5424554944038391,0,30,2019-09-18,2019-10-17
MA1,23879,0.5403128266334534,0,30,2019-10-10,2019-11-08
MA1,24031,0.5729348659515381,0,16,2018-02-01,2018-02-16
MA1,24096,0.531587541103363,0,30,2019-10-10,2019-11-08
MA1,24146,0.5327255129814148,0,30,2019-08-28,2019-10-26
MA1,24317,0.5468518137931824,0,30,2019-09-10,2019-11-08
MA1,24466,0.5736985802650452,0,30,2018-03-20,2018-04-18
MA1,24529,0.5905572175979614,0,30,2019-08-29,2019-09-27
